cityState,visits,lat,lon,isCTR
"Exeter, NH",17,42.981477,-70.9478343,FALSE
"Fairview, NJ",4,40.8126006,-73.999028,FALSE
"Fitchburg, MA",4,42.5834228,-71.8022956,FALSE
"Fitzwilliam, NH",15,42.7804398,-72.145832,FALSE
"Framingham, MA",2,42.2792625,-71.416172,FALSE
"Francestown, NH",2,42.9875825,-71.8125769,FALSE
"Franklin, MA",2,42.5896205,-72.6110645,FALSE
"Freeport, ME",2,43.857307,-70.10376,FALSE
"Fremont, NH",2,42.9909194,-71.1425606,FALSE
"Gardner, MA",15,42.5750883,-71.998133,FALSE
"Glendale, CA",4,34.192912,-118.2462486,FALSE
"Goffstown, NH",60,43.0203609,-71.600349,FALSE
"Gorham, ME",4,43.6796943,-70.4429342,FALSE
"Granby, CT",2,41.9801586,-72.82505677,FALSE
"Greenfield, NH",12,42.9506384,-71.8723003,FALSE
"Greenville, NH",71,42.7673087,-71.8122977,FALSE
"Groton, MA",45,42.6112242,-71.5745402,FALSE
"Grove City, OH",2,39.8814519,-83.0929645,FALSE
"Hampstead, NH",11,42.8745323,-71.1811714,FALSE
"Hancock, NH",10,42.9728594,-71.9798028,FALSE
"Haverhill, MA",4,42.7777829,-71.0767724,FALSE
"Henniker, NH",4,43.179645,-71.822433,FALSE
"Hialeah, FL",2,25.8575963,-80.2781057,FALSE
"Hillsboro, NH",2,43.1148019,-71.8950798,FALSE
"Hollis, NH",348,42.7431621,-71.591333,FALSE
"Holly Springs, NC",3,35.6512655,-78.8336218,FALSE
"Hooksett, NH",77,43.096972,-71.465378,FALSE
"Hopkinton, MA",11,42.2288427,-71.5195534,FALSE
"Hudson, NH",421,42.7654433,-71.4397167,FALSE
"Jaffrey, NH",22,42.813973,-72.023136,FALSE
"Jamesburg, NJ",2,40.3526079,-74.4401513,FALSE
"Keene, NH",12,42.933597,-72.2784264,FALSE
"Laconia, NH",4,43.5278546,-71.470351,FALSE
"Lawrence, MA",4,42.7070354,-71.1631137,FALSE
"Leominster, MA",10,42.5250906,-71.759794,FALSE
"Lewisville, TX",2,33.046233,-96.994174,FALSE
"Lexington, MA",4,42.4473175,-71.2245003,FALSE
"Litchfield, NH",291,42.8442536,-71.4797889,FALSE
"Littleton, CO",4,39.613321,-105.0166498,FALSE
"Littleton, MA",6,42.5375917,-71.5120096,FALSE
"Londonderry, NH",291,42.8650869,-71.3739532,FALSE
"Lowell, MA",45,42.6334247,-71.3161718,FALSE
"Lunenburg, MA",5,42.5945342,-71.724516,FALSE
"Lyndeborough, NH",21,42.9075843,-71.7664642,FALSE
"Lynn, MA",4,42.466763,-70.9494939,FALSE
"Manchester, NH",616,42.9956397,-71.4547891,FALSE
"Marlborough, NH",4,42.9042483,-72.2078618,FALSE
"Medford, MA",4,42.4184296,-71.1061639,FALSE
"Melrose, MA",4,42.4564323,-71.064182,FALSE
"Meredith, NH",3,43.657937,-71.500397,FALSE
"Merrimack, NH",9468,42.8650864,-71.4934004,FALSE
"Methuen, MA",4,42.7262016,-71.1908924,FALSE
"Middletown, CT",2,41.5623178,-72.6509061,FALSE
"Milford, NH",839,42.8353641,-71.6489604,FALSE
"Milton, MA",2,42.2501425,-71.065573,FALSE
"Mont Vernon, NH",94,42.8945294,-71.6742394,FALSE
"Mooresville, NC",3,35.5848596,-80.8100724,FALSE
"Murfreesboro, TN",2,35.845999,-86.3920452,FALSE
"Nashua, NH",3448,42.7653662,-71.467566,FALSE
"Needham, MA",5,42.283431,-71.2328329,FALSE
"New Bedford, MA",4,41.6362152,-70.934205,FALSE
"New Boston, NH",30,42.9761945,-71.6939626,FALSE
"New Ipswich, NH",17,42.7481421,-71.8542429,FALSE
"New London, NH",2,43.414026,-71.985168,FALSE
"New York, NY",2,40.7127281,-74.0060152,FALSE
"Newburyport, MA",2,42.8125913,-70.8772751,FALSE
"Newfields, NH",6,43.0370316,-70.9383906,FALSE
"North Chelmsford, MA",26,42.6389798,-71.3828403,FALSE
"North Waterboro, ME",3,43.6203572,-70.7353363,FALSE
"Norwich, CT",2,41.5242649,-72.0759105,FALSE
"Paoli, PA",6,40.040739,-75.49284449,FALSE
"Pasadena, MD",3,39.1106375,-76.55069675,FALSE
"Pelham, NH",24,42.734534,-71.3245067,FALSE
"Pepperell, MA",106,42.6659227,-71.5884018,FALSE
"Peterborough, NH",43,42.8705821,-71.9515459,FALSE
"Pittsburg, NH",20,45.05121,-71.391907,FALSE
"Plainville, CT",8,41.6744269,-72.85530332,FALSE
"Portsmouth, NH",2,43.0717552,-70.7625532,FALSE
