airport,isDTW,lat,long,flightsDTW,,,,,,,,,,isORD,isYYZ,isMSP,isYWG,name
BIL,0,45.8077011108,-108.5429992676,0,,,,,,,,,,0,0,0,0,Paris Beauvais Tillé Airport
BIS,0,46.7727012634,-100.7460021973,0,,,,,,,,,,0,0,0,0,Brigadeiro Camarão Airport
BJI,0,47.50939941,-94.93370056,0,,,,,,,,,,0,0,0,0,Bol Airport
BKC,0,65.9815979004,-161.149002075,0,,,,,,,,,,0,0,0,0,Bayankhongor Airport
BKW,0,37.7873001099,-81.1241989136,0,,,,,,,,,,0,0,0,0,Béziers-Vias Airport
BLI,0,48.7928009033,-122.5380020142,0,,,,,,,,,,0,0,0,0,Cagliari Elmas Airport
BLV,0,38.5452,-89.835197,0,,,,,,,,,,0,0,0,0,Guangzhou Baiyun International Airport
BOI,0,43.5644,-116.223,0,,,,,,,,,,0,0,0,0,Conceição do Araguaia Airport
BPT,0,29.950799942,-94.0206985474,0,,,,,,,,,,0,0,0,0,Chelyabinsk Balandino Airport
BQK,0,31.2588005066,-81.4664993286,0,,,,,,,,,,0,0,0,0,Cortez Municipal Airport
BRD,0,46.39830017,-94.13809967,0,,,,,,,,,,0,0,0,0,Caen-Carpiquet Airport
BRL,0,40.7831993103,-91.12550354,0,,,,,,,,,,0,0,0,0,Marechal Rondon Airport
BRO,0,25.9067993164,-97.4259033203,0,,,,,,,,,,0,0,0,0,Cape Girardeau Regional Airport
BRW,0,71.285402,-156.766008,0,,,,,,,,,,0,0,0,0,Shah Amanat International Airport
BTI,0,70.1340026855,-143.582000732,0,,,,,,,,,,0,0,0,0,Ciampino–G. B. Pastine International Airport
BTM,0,45.9547996521,-112.497001648,0,,,,,,,,,,0,0,0,0,Chifeng Airport
BTR,0,30.533199,-91.149597,0,,,,,,,,,,0,0,0,0,Changzhi Airport
BTT,0,66.91390228,-151.529007,0,,,,,,,,,,0,0,0,0,Chalkyitsik Airport
BUR,0,34.2006988525,-118.3590011597,0,,,,,,,,,,0,0,0,0,Mayor General FAP Armando Revoredo Iglesias Airport
BZN,0,45.77750015,-111.1529999,0,,,,,,,,,,0,0,0,0,Bandaranaike International Colombo Airport
CDB,0,55.2061004639,-162.7250061035,0,,,,,,,,,,0,0,0,0,Presidente João Suassuna Airport
CDC,0,37.7010002136,-113.0989990234,0,,,,,,,,,,0,0,0,0,Benjamin Rivera Noriega Airport
CDR,0,42.837600708,-103.095001221,0,,,,,,,,,,0,0,0,0,General E. Mosconi Airport
CDV,0,60.4917984,-145.4779968,0,,,,,,,,,,0,0,0,0,Colonel Hill Airport
CEC,0,41.78020096,-124.2369995,0,,,,,,,,,,0,0,0,0,Brussels South Charleroi Airport
CEM,0,65.57379913,-144.7830048,0,,,,,,,,,,0,0,0,0,Cap Skirring Airport
CEZ,0,37.3030014038,-108.627998352,0,,,,,,,,,,0,0,0,0,Cheboksary Airport
CGI,0,37.2252998352,-89.5708007813,0,,,,,,,,,,0,0,0,0,Cumaná (Antonio José de Sucre) Airport
CHO,0,38.1385993958,-78.4529037476,0,,,,,,,,,,0,0,0,0,Afonso Pena Airport
CIC,0,39.79539871,-121.8580017,0,,,,,,,,,,0,0,0,0,Hugo Cantergiani Regional Airport
CIK,0,66.6449966431,-143.740005493,0,,,,,,,,,,0,0,0,0,Vilo Acuña International Airport
CKB,0,39.2966003418,-80.2281036377,0,,,,,,,,,,0,0,0,0,Dallas Love Field
CLD,0,33.12829971,-117.2799988,0,,,,,,,,,,0,0,0,0,James M Cox Dayton International Airport
CLL,0,30.58860016,-96.36380005,0,,,,,,,,,,0,0,0,0,Dubbo City Regional Airport
CLM,0,48.1202011108,-123.5,0,,,,,,,,,,0,0,0,0,Dubuque Regional Airport
CMI,0,40.03919983,-88.27809906,0,,,,,,,,,,0,0,0,0,Decatur Airport
CMX,0,47.1683998108,-88.4890975952,0,,,,,,,,,,0,0,0,0,Indira Gandhi International Airport
CNM,0,32.3375015259,-104.2630004883,0,,,,,,,,,,0,0,0,0,Sibulan Airport
CNY,0,38.75500107,-109.7549973,0,,,,,,,,,,0,0,0,0,Dibrugarh Airport
COD,0,44.520198822,-109.024002075,0,,,,,,,,,,0,0,0,0,Arrachart Airport
COS,0,38.805801,-104.700996,0,,,,,,,,,,0,0,0,0,Dien Bien Phu Airport
COU,0,38.8180999756,-92.2195968628,0,,,,,,,,,,0,0,0,0,Aba Tenna Dejazmach Yilma International Airport
CPR,0,42.90800095,-106.4639969,0,,,,,,,,,,0,0,0,0,Djanet Inedbirene Airport
CRP,0,27.7703990936,-97.5011978149,0,,,,,,,,,,0,0,0,0,Dali Airport
CSG,0,32.5163002014,-84.9389038086,0,,,,,,,,,,0,0,0,0,Dillon's Bay Airport
CYF,0,60.1492004395,-164.285995483,0,,,,,,,,,,0,0,0,0,Detroit Metropolitan Wayne County Airport
CYS,0,41.15570068,-104.8119965,0,,,,,,,,,,0,0,0,0,DuBois Regional Airport
DAB,0,29.179899,-81.058098,0,,,,,,,,,,0,0,0,0,Ugolny Airport
DAL,0,32.847099,-96.851799,0,,,,,,,,,,0,0,0,0,Zhezkazgan Airport
DBQ,0,42.40200043,-90.70950317,0,,,,,,,,,,0,0,0,0,El Bayadh Airport
DDC,0,37.7634010315,-99.9655990601,0,,,,,,,,,,0,0,0,0,Northwest Florida Beaches International Airport
DEC,0,39.8345985413,-88.8656997681,0,,,,,,,,,,0,0,0,0,Balıkesir Körfez Airport
DHN,0,31.3213005066,-85.4496002197,0,,,,,,,,,,0,0,0,0,Egilsstaðir Airport
DIK,0,46.7974014282,-102.802001953,0,,,,,,,,,,0,0,0,0,Al Wajh Domestic Airport
DLG,0,59.04470062,-158.5050049,0,,,,,,,,,,0,0,0,0,Elfin Cove Seaplane Base
DLH,0,46.8420982361,-92.1936035156,0,,,,,,,,,,0,0,0,0,East Midlands Airport
DRG,0,66.0696029663,-162.76600647,0,,,,,,,,,,0,0,0,0,General Rivadeneira Airport
DRO,0,37.1515007019,-107.753997803,0,,,,,,,,,,0,0,0,0,Eilat Airport
DTW,1,42.2123985291,-83.3534011841,0,,,,,,,,,,0,0,0,0,Zvartnots International Airport
DUJ,0,41.17829895,-78.8986969,0,,,,,,,,,,0,0,0,0,Coastal Carolina Regional Airport
DUT,0,53.900100708,-166.544006348,0,,,,,,,,,,0,0,0,0,Beloyarskiy Airport
EAT,0,47.3988990784,-120.207000732,0,,,,,,,,,,0,0,0,0,Glacier Park International Airport
EAU,0,44.8657989502,-91.4842987061,0,,,,,,,,,,0,0,0,0,Leonardo da Vinci–Fiumicino Airport
ECP,0,30.357106,-85.795414,0,,,,,,,,,,0,0,0,0,Karlsruhe Baden-Baden Airport
EEK,0,60.21367264,-162.0438843,0,,,,,,,,,,0,0,0,0,Gustavo Artunduaga Paredes Airport
EGE,0,39.64260101,-106.9179993,0,,,,,,,,,,0,0,0,0,Hercílio Luz International Airport
EGX,0,58.1855010986,-157.375,0,,,,,,,,,,0,0,0,0,Formosa Airport
EKO,0,40.8249015808,-115.7919998169,0,,,,,,,,,,0,0,0,0,Madeira Airport
ELD,0,33.2210006714,-92.8133010864,0,,,,,,,,,,0,0,0,0,Bishop International Airport
ELI,0,64.61470032,-162.2720032,0,,,,,,,,,,0,0,0,0,Pinto Martins International Airport
ELP,0,31.80719948,-106.3779984,0,,,,,,,,,,0,0,0,0,Grand Bahama International Airport
ELV,0,58.1952018738,-136.347000122,0,,,,,,,,,,0,0,0,0,Florø Airport
EMK,0,62.78609848,-164.4909973,0,,,,,,,,,,0,0,0,0,Francistown Airport
ENA,0,60.5731010437,-151.2449951172,0,,,,,,,,,,0,0,0,0,Figari Sud-Corse Airport
ESD,0,48.7081985474,-122.910003662,0,,,,,,,,,,0,0,0,0,Yamagata Airport
EUG,0,44.1245994568,-123.2119979858,0,,,,,,,,,,0,0,0,0,Sir Seretse Khama International Airport
EWB,0,41.6761016846,-70.9569015503,0,,,,,,,,,,0,0,0,0,Owen Roberts International Airport
EWN,0,35.0730018616,-77.0429000854,0,,,,,,,,,,0,0,0,0,Grand Canyon National Park Airport
EYW,0,24.5561008453,-81.7595977783,0,,,,,,,,,,0,0,0,0,Gonder Airport
FAI,0,64.81510162,-147.8560028,0,,,,,,,,,,0,0,0,0,Gelendzhik Airport
FAR,0,46.9207000732,-96.8158035278,0,,,,,,,,,,0,0,0,0,Spokane International Airport
FAT,0,36.7761993408,-119.7180023193,0,,,,,,,,,,0,0,0,0,Santo Ângelo Airport
FAY,0,34.9911994934,-78.8803024292,0,,,,,,,,,,0,0,0,0,General Santos International Airport
FCA,0,48.3105010986,-114.2559967041,0,,,,,,,,,,0,0,0,0,Gällivare Airport
FKL,0,41.3778991699,-79.8603973389,0,,,,,,,,,,0,0,0,0,Rio Galeão – Tom Jobim International Airport
FLG,0,35.13850021,-111.6709976,0,,,,,,,,,,0,0,0,0,Jizan Regional Airport
FLO,0,34.1853981018,-79.7238998413,0,,,,,,,,,,0,0,0,0,Grand Junction Regional Airport
FMN,0,36.7411994934,-108.230003357,0,,,,,,,,,,0,0,0,0,Galcaio Airport
FNT,0,42.9654006958,-83.743598938,0,,,,,,,,,,0,0,0,0,Gimpo International Airport
FOE,0,38.9509010315,-95.6635971069,0,,,,,,,,,,0,0,0,0,La Gomera Airport
FRD,0,48.5219993591,-123.024002075,0,,,,,,,,,,0,0,0,0,Şanlıurfa GAP Airport
FSD,0,43.5820007324,-96.741897583,0,,,,,,,,,,0,0,0,0,Golmud Airport
FSM,0,35.3366012573,-94.367401123,0,,,,,,,,,,0,0,0,0,Gothenburg-Landvetter Airport
FYU,0,66.5715026855,-145.25,0,,,,,,,,,,0,0,0,0,Robert Gray  Army Air Field Airport
GAL,0,64.73619843,-156.9369965,0,,,,,,,,,,0,0,0,0,Gerald R. Ford International Airport
GAM,0,63.7667999268,-171.733001709,0,,,,,,,,,,0,0,0,0,Guarulhos - Governador André Franco Montoro International Airport
GCC,0,44.3488998413,-105.539001465,0,,,,,,,,,,0,0,0,0,Gustavus Airport
GCK,0,37.9275016785,-100.723999023,0,,,,,,,,,,0,0,0,0,Jalaluddin Airport
GCN,0,35.9524002075,-112.1470031738,0,,,,,,,,,,0,0,0,0,Golden Triangle Regional Airport
GDV,0,47.13869858,-104.8069992,0,,,,,,,,,,0,0,0,0,Geneva Cointrin International Airport
GEG,0,47.6198997498,-117.533996582,0,,,,,,,,,,0,0,0,0,Westerland Sylt Airport
GFK,0,47.949299,-97.176102,0,,,,,,,,,,0,0,0,0,Guangyuan Airport
GGG,0,32.3839988708,-94.7115020752,0,,,,,,,,,,0,0,0,0,Gazipaşa Airport
GGW,0,48.212502,-106.614998,0,,,,,,,,,,0,0,0,0,Hasvik Airport
GJT,0,39.1223983765,-108.527000427,0,,,,,,,,,,0,0,0,0,José Martí International Airport
GLH,0,33.4828987122,-90.9856033325,0,,,,,,,,,,0,0,0,0,Heringsdorf Airport
GLV,0,64.5504989624,-163.007003784,0,,,,,,,,,,0,0,0,0,Hoedspruit Air Force Base Airport
GNV,0,29.6900997162,-82.2717971802,0,,,,,,,,,,0,0,0,0,Haifa International Airport
GPT,0,30.4073009491,-89.070098877,0,,,,,,,,,,0,0,0,0,Zhijiang Airport
GRI,0,40.9674987793,-98.3096008301,0,,,,,,,,,,0,0,0,0,Khajuraho Airport
GRK,0,31.067199707,-97.8289031982,0,,,,,,,,,,0,0,0,0,Hong Kong International Airport
GST,0,58.4253006,-135.7070007,0,,,,,,,,,,0,0,0,0,Hamilton International Airport
GTF,0,47.48199844,-111.3710022,0,,,,,,,,,,0,0,0,0,Sohag International Airport
GTR,0,33.4502983093,-88.5914001465,0,,,,,,,,,,0,0,0,0,Hami Airport
