cityState,visits,lat,lon,isCTR
"Dunstable, MA",62,-71.4828433,42.6750898,FALSE
"Duvall, WA",7,-121.9856782,47.7423219,FALSE
"East Templeton, MA",2,-72.0370227,42.563144,FALSE
"Elkins, WV",2,-79.8466552,38.925927,FALSE
"Enfield, NH",2,-72.1127278108803,43.60178965,FALSE
"Epping, NH",9,-71.0730253,43.0394461,FALSE
"Epsom, NH",2,-71.332169,43.223191,FALSE
"Exeter, NH",17,-70.9478343,42.981477,FALSE
"Fairview, NJ",4,-73.999028,40.8126006,FALSE
"Fitchburg, MA",4,-71.8022956,42.5834228,FALSE
"Fitzwilliam, NH",15,-72.145832,42.7804398,FALSE
"Framingham, MA",2,-71.416172,42.2792625,FALSE
"Francestown, NH",2,-71.8125769,42.9875825,FALSE
"Franklin, MA",2,-72.6110645,42.5896205,FALSE
"Freeport, ME",2,-70.10376,43.857307,FALSE
"Fremont, NH",2,-71.1425606,42.9909194,FALSE
"Gardner, MA",15,-71.998133,42.5750883,FALSE
"Glendale, CA",4,-118.246248614754,34.192912,FALSE
"Goffstown, NH",60,-71.600349,43.0203609,FALSE
"Gorham, ME",4,-70.4429342,43.6796943,FALSE
"Granby, CT",2,-72.8250567655513,41.9801586,FALSE
"Greenfield, NH",12,-71.8723003,42.9506384,FALSE
"Greenville, NH",71,-71.8122977,42.7673087,FALSE
"Groton, MA",45,-71.5745402,42.6112242,FALSE
"Grove City, OH",2,-83.0929645,39.8814519,FALSE
"Hampstead, NH",11,-71.1811714,42.8745323,FALSE
"Hancock, NH",10,-71.9798028,42.9728594,FALSE
"Haverhill, MA",4,-71.0767724,42.7777829,FALSE
"Henniker, NH",4,-71.822433,43.179645,FALSE
"Hialeah, FL",2,-80.2781057,25.8575963,FALSE
"Hillsboro, NH",2,-71.8950798,43.1148019,FALSE
"Hollis, NH",348,-71.591333,42.7431621,FALSE
"Holly Springs, NC",3,-78.8336218,35.6512655,FALSE
"Hooksett, NH",77,-71.465378,43.096972,FALSE
"Hopkinton, MA",11,-71.5195534,42.2288427,FALSE
"Hudson, NH",421,-71.4397167,42.7654433,FALSE
"Jaffrey, NH",22,-72.023136,42.813973,FALSE
"Jamesburg, NJ",2,-74.4401513,40.3526079,FALSE
"Keene, NH",12,-72.2784264,42.933597,FALSE
"Laconia, NH",4,-71.470351,43.5278546,FALSE
"Lawrence, MA",4,-71.1631137,42.7070354,FALSE
"Leominster, MA",10,-71.759794,42.5250906,FALSE
"Lewisville, TX",2,-96.994174,33.046233,FALSE
"Lexington, MA",4,-71.2245003,42.4473175,FALSE
"Litchfield, NH",291,-71.4797889,42.8442536,FALSE
"Littleton, CO",4,-105.0166498,39.613321,FALSE
"Littleton, MA",6,-71.5120096,42.5375917,FALSE
"Londonderry, NH",291,-71.3739532,42.8650869,FALSE
"Lowell, MA",45,-71.3161718,42.6334247,FALSE
"Lunenburg, MA",5,-71.724516,42.5945342,FALSE
"Lyndeborough, NH",21,-71.7664642,42.9075843,FALSE
"Lynn, MA",4,-70.9494939,42.466763,FALSE
"Manchester, NH",616,-71.4547891,42.9956397,FALSE
"Marlborough, NH",4,-72.2078618,42.9042483,FALSE
"Medford, MA",4,-71.1061639,42.4184296,FALSE
"Melrose, MA",4,-71.064182,42.4564323,FALSE
"Meredith, NH",3,-71.500397,43.657937,FALSE
"Merrimack, NA",NA,-71.4934004,42.8650864,FALSE
"Merrimack, NH",9468,-71.4934004,42.8650864,FALSE
"Methuen, MA",4,-71.1908924,42.7262016,FALSE
"Middletown, CT",2,-72.6509061,41.5623178,FALSE
"Milford, NH",839,-71.648960400000007,42.8353641,FALSE
"Milton, MA",2,-71.065573,42.2501425,FALSE
"Mont Vernon, NH",94,-71.6742394,42.8945294,FALSE
"Mooresville, NC",3,-80.8100724,35.5848596,FALSE
"Murfreesboro, TN",2,-86.3920452,35.845999,FALSE
"Nashua, NH",3448,-71.467566,42.7653662,FALSE
"Needham, MA",5,-71.2328329,42.283431,FALSE
"New Bedford, MA",4,-70.934205,41.6362152,FALSE
"New Boston, NH",30,-71.6939626,42.9761945,FALSE
"New Ipswich, NH",17,-71.8542429,42.7481421,FALSE
"New London, NH",2,-71.985168,43.414026,FALSE
"New York, NY",2,-74.0060152,40.7127281,FALSE
"Newburyport, MA",2,-70.8772751,42.8125913,FALSE
"Newfields, NH",6,-70.9383906,43.0370316,FALSE
"North Chelmsford, MA",26,-71.3828403,42.6389798,FALSE
"North Waterboro, ME",3,-70.7353363,43.6203572,FALSE
"Norwich, CT",2,-72.0759105,41.5242649,FALSE
"Paoli, PA",6,-75.4928444948136,40.040739,FALSE
"Pasadena, MD",3,-76.5506967542792,39.1106375,FALSE
"Pelham, NH",24,-71.3245067,42.734534,FALSE
"Pepperell, MA",106,-71.5884018,42.6659227,FALSE
"Peterborough, NH",43,-71.9515459,42.8705821,FALSE
"Pittsburg, NH",20,-71.391907,45.05121,FALSE
"Plainville, CT",8,-72.8553033207735,41.6744269,FALSE
"Portsmouth, NH",2,-70.7625532,43.0717552,FALSE
"Raymond, NH",10,-71.1833951,43.0361961,FALSE
"Reston, VA",4,-77.3579743,38.9584018,FALSE
"Rindge, NH",37,-72.0098021,42.7511964,FALSE
"Rochester, NH",6,-70.9753629,43.3050631,FALSE
"Ruther Glen, VA",2,-77.4558151,37.9287494,FALSE
