airport,isDTW,lat,long,flightsDTW
DUJ,0,41.17829895,-78.8986969,0
DUT,0,53.900100708,-166.544006348,0
EAT,0,47.3988990784,-120.207000732,0
EAU,0,44.8657989502,-91.4842987061,0
ECP,0,30.357106,-85.795414,0
EEK,0,60.21367264,-162.0438843,0
EGE,0,39.64260101,-106.9179993,0
EGX,0,58.1855010986,-157.375,0
EKO,0,40.8249015808,-115.7919998169,0
ELD,0,33.2210006714,-92.8133010864,0
ELI,0,64.61470032,-162.2720032,0
ELP,0,31.80719948,-106.3779984,0
ELV,0,58.1952018738,-136.347000122,0
EMK,0,62.78609848,-164.4909973,0
ENA,0,60.5731010437,-151.2449951172,0
ESD,0,48.7081985474,-122.910003662,0
EUG,0,44.1245994568,-123.2119979858,0
EWB,0,41.6761016846,-70.9569015503,0
EWN,0,35.0730018616,-77.0429000854,0
EYW,0,24.5561008453,-81.7595977783,0
FAI,0,64.81510162,-147.8560028,0
FAR,0,46.9207000732,-96.8158035278,0
FAT,0,36.7761993408,-119.7180023193,0
FAY,0,34.9911994934,-78.8803024292,0
FCA,0,48.3105010986,-114.2559967041,0
FKL,0,41.3778991699,-79.8603973389,0
FLG,0,35.13850021,-111.6709976,0
FLO,0,34.1853981018,-79.7238998413,0
FMN,0,36.7411994934,-108.230003357,0
FNT,0,42.9654006958,-83.743598938,0
FOE,0,38.9509010315,-95.6635971069,0
FRD,0,48.5219993591,-123.024002075,0
FSD,0,43.5820007324,-96.741897583,0
FSM,0,35.3366012573,-94.367401123,0
FYU,0,66.5715026855,-145.25,0
GAL,0,64.73619843,-156.9369965,0
GAM,0,63.7667999268,-171.733001709,0
GCC,0,44.3488998413,-105.539001465,0
GCK,0,37.9275016785,-100.723999023,0
GCN,0,35.9524002075,-112.1470031738,0
GDV,0,47.13869858,-104.8069992,0
GEG,0,47.6198997498,-117.533996582,0
GFK,0,47.949299,-97.176102,0
GGG,0,32.3839988708,-94.7115020752,0
GGW,0,48.212502,-106.614998,0
GJT,0,39.1223983765,-108.527000427,0
GLH,0,33.4828987122,-90.9856033325,0
GLV,0,64.5504989624,-163.007003784,0
GNV,0,29.6900997162,-82.2717971802,0
GPT,0,30.4073009491,-89.070098877,0
GRI,0,40.9674987793,-98.3096008301,0
GRK,0,31.067199707,-97.8289031982,0
GST,0,58.4253006,-135.7070007,0
GTF,0,47.48199844,-111.3710022,0
GTR,0,33.4502983093,-88.5914001465,0
GUC,0,38.53390121,-106.9329987,0
HCR,0,62.1883010864,-159.7749938965,0
HDN,0,40.48120117,-107.2180023,0
HGR,0,39.707901,-77.72949982,0
HHH,0,32.2243995667,-80.6975021362,0
HIB,0,47.38660049,-92.83899689,0
HLN,0,46.6068000793,-111.983001709,0
HNH,0,58.0961,-135.410111,0
